% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
-0.20000000000000054      1.176650605169129E9
-0.10000000000000175      1.173165084581499E9
-5.967448757360216E-16    1.17171142443174E9
0.0999999999999982        1.1687476808817735E9
0.1999999999999994        1.163752076893936E9
0.29999999999999816       1.1587564729060988E9
0.39999999999999936       1.1537608689182615E9
0.4999999999999982        1.1462250295537696E9
0.599999999999997         1.1285148052143593E9
0.6999999999999982        1.1185090960623257E9
0.799999999999997         1.1085033869102924E9
0.8999999999999982        1.0984976777582583E9
0.999999999999997         1.0902813483352113E9
1.099999999999998         1.0796458320777872E9
1.1999999999999968        1.0672209360913758E9
1.299999999999998         1.0547960401049647E9
1.399999999999997         1.0423711441185539E9
1.4999999999999982        1.0369905361903423E9
1.599999999999997         1.0156070381253711E9
1.699999999999998         9.871792520022002E8
1.7999999999999967        9.587514658790289E8
1.899999999999998         9.30323679755857E8
1.999999999999997         9.01923636442725E8
2.099999999999998         8.732357212614782E8
2.199999999999997         8.445200632701933E8
2.299999999999998         8.158044052789085E8
2.399999999999997         7.870887472876238E8
2.4999999999999982        7.593323676786397E8
2.5999999999999996        7.102915191291698E8
2.6999999999999984        6.602913921973995E8
2.799999999999999         6.102912652656276E8
2.8999999999999977        5.602911383338572E8
2.999999999999999         5.1301336878393793E8
3.099999999999998         4.651019755075898E8
3.199999999999999         4.144682248493881E8
3.2999999999999976        3.638344741911876E8
3.399999999999999         3.132007235329859E8
3.499999999999998         2.771135903473717E8
3.5999999999999988        2.310156353157308E8
3.6999999999999975        1.7037106281150535E8
3.799999999999999         1.0972649030727845E8
3.899999999999998         4.908191780305296E7
3.999999999999999         -7007570.1885260865
4.099999999999998         -6.364122666896348E7
4.199999999999998         -1.248299676620503E8
4.299999999999997         -1.8601870865513575E8
4.399999999999999         -2.4720744964822266E8
4.499999999999997         -2.882128644978762E8
4.599999999999998         -3.156134682793181E8
4.699999999999997         -3.66487696578833E8
4.799999999999998         -4.173619248783483E8
4.899999999999997         -4.6823615317786294E8
4.999999999999998         -5.179175195690921E8
5.099999999999997         -5.673051073643334E8
5.1999999999999975        -6.178855570678625E8
5.299999999999997         -6.684660067713901E8
5.399999999999999         -7.19046456474919E8
5.4999999999999964        -7.738062157772102E8
5.599999999999998         -8.043361825644896E8
5.699999999999996         -8.306868397530051E8
5.799999999999997         -8.570374969415207E8
5.899999999999996         -8.833881541300353E8
5.999999999999997         -9.08411712271394E8
6.099999999999996         -9.322483688355178E8
6.199999999999997         -9.57412124446797E8
6.299999999999995         -9.825758800580761E8
6.399999999999998         -1.0077396356693563E9
6.4999999999999964        -1.039040398158221E9
6.599999999999995         -1.0545765629035571E9
6.699999999999996         -1.0639757207713091E9
6.799999999999995         -1.0733748786390607E9
6.899999999999997         -1.0827740365068116E9
6.999999999999996         -1.097178517099756E9
7.099999999999997         -1.1115758660905523E9
7.199999999999996         -1.1209678923561535E9
7.299999999999996         -1.1303599186217551E9
7.399999999999995         -1.1397519448873577E9
7.4999999999999964        -1.149143971152959E9
7.546854872023135         -1.1537648307660048E9
7.547003979639635         -1.153781280732901E9
7.547154039304842         -1.1537978357324584E9
7.590401127419245         -1.1585689747563803E9
7.594007959279276         -1.1589668904771938E9
7.597914562823211         -1.159397877843792E9
7.640564616069417         -1.1641031503207965E9
7.641011938918917         -1.1641525002214856E9
7.641462117914537         -1.1642021652201571E9
7.680802254838495         -1.1685422785241528E9
7.688015918558556         -1.1693381099657798E9
7.695829125646426         -1.170200084698976E9
7.734274360115695         -1.1717778564557264E9
7.812802483738498         -1.1729786990481741E9
